         398365 function calls (398313 primitive calls) in 1.398 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       55    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:123(set_cdata_mode)
     6685    0.001    0.000    0.001    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/element.py:2227(__bool__)
     3207    0.001    0.000    0.001    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
     3207    0.001    0.000    0.001    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
     3218    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3088    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     3226    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:231(_parse_header_lines)
        3    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:576(_code)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/parser.py:56(parsestr)
     3272    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/parser.py:41(parse)
     1063    0.000    0.000    0.001    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/element.py:2168(get)
     3206    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/_markupbase.py:36(getpos)
      963    0.000    0.000    0.001    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/filter.py:321(matches_tag)
      937    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/socket.py:744(readable)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/feedparser.py:173(feed)
     2454    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     3034    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:127(clear_cdata_mode)
     1874    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1117(_checkClosed)
     2373    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      938    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        6    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:241(_optimize_charset)
