         449974 function calls (425687 primitive calls) in 0.343 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.000    0.000 __init__.py:305(escape)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
    29/28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       57    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        9    0.000    0.000    0.000    0.000 __init__.py:1361(getLogger)
        7    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       69    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       34    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.003    0.003 _typing.py:1(<module>)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
        1    0.000    0.000    0.000    0.000 inspect.py:2375(_signature_from_function)
      116    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        7    0.000    0.000    0.000    0.000 enum.py:1012(_find_new_)
       16    0.000    0.000    0.015    0.001 css_parser.py:1149(process_selectors)
        8    0.000    0.000    0.000    0.000 typing.py:2199(__init_subclass__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      269    0.000    0.000    0.000    0.000 enum.py:1215(__init__)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 element.py:1577(Tag)
       41    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
        1    0.000    0.000    0.005    0.005 css_match.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        9    0.000    0.000    0.000    0.000 __init__.py:2128(getLogger)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
      111    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.020    0.020 sessions.py:1(<module>)
       19    0.000    0.000    0.000    0.000 typing.py:2696(overload)
      121    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       16    0.000    0.000    0.032    0.002 css_parser.py:306(__init__)
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x104c96de0}
